"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","1395","117","779","105","616","127",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","1377","181","883","98","494","169",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","1880","249","995","227","885","196",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","1069","110","591","113","478","96",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","1046","188","434","99","612","196",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","1402","155","413","100","989","176",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","2193","382","1289","366","904","253",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","2830","356","1348","317","1482","257",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","3729","367","1257","350","2472","415",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","706","87","461","89","245","66",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","696","84","395","65","301","88",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","1175","164","675","218","500","118",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","4496","449","2396","469","2100","394",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","2396","384","1538","213","858","353",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","2958","255","1177","279","1781","232",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","3479","260","1359","312","2120","249",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","2211","406","904","363","1307","320",
"1400000US17031081000","Census Tract 810; Cook County; Illinois","5561","606","698","248","4863","648",
"1400000US17031081100","Census Tract 811; Cook County; Illinois","2902","355","512","172","2390","347",
"1400000US17031081201","Census Tract 812.01; Cook County; Illinois","2933","343","1338","265","1595","296",
"1400000US17031081202","Census Tract 812.02; Cook County; Illinois","2113","362","1431","364","682","157",
"1400000US17031081300","Census Tract 813; Cook County; Illinois","3838","521","1978","433","1860","435",
"1400000US17031081401","Census Tract 814.01; Cook County; Illinois","1609","198","619","111","990","210",
"1400000US17031081402","Census Tract 814.02; Cook County; Illinois","3950","365","1198","345","2752","403",
"1400000US17031081403","Census Tract 814.03; Cook County; Illinois","7077","824","1444","583","5633","765",
"1400000US17031081500","Census Tract 815; Cook County; Illinois","3608","562","1883","593","1725","321",
"1400000US17031081600","Census Tract 816; Cook County; Illinois","2976","318","787","189","2189","274",
"1400000US17031081700","Census Tract 817; Cook County; Illinois","3867","367","901","187","2966","383",
"1400000US17031081800","Census Tract 818; Cook County; Illinois","8462","627","3867","730","4595","706",
"1400000US17031081900","Census Tract 819; Cook County; Illinois","741","206","308","176","433","96",
"1400000US17031090100","Census Tract 901; Cook County; Illinois","1439","131","1274","165","165","87",
"1400000US17031090200","Census Tract 902; Cook County; Illinois","2689","291","2081","285","608","189",
"1400000US17031090300","Census Tract 903; Cook County; Illinois","553","65","446","66","107","45",
"1400000US17031100100","Census Tract 1001; Cook County; Illinois","2207","253","1908","275","299","133",
"1400000US17031100200","Census Tract 1002; Cook County; Illinois","2850","201","1959","298","891","211",
"1400000US17031100300","Census Tract 1003; Cook County; Illinois","2756","256","1849","262","907","197",
"1400000US17031100400","Census Tract 1004; Cook County; Illinois","1279","143","1189","158","90","60",
"1400000US17031100500","Census Tract 1005; Cook County; Illinois","2389","349","2225","337","164","93",
"1400000US17031100600","Census Tract 1006; Cook County; Illinois","1885","148","1455","185","430","119",
"1400000US17031100700","Census Tract 1007; Cook County; Illinois","1886","163","1756","160","130","81",
"1400000US17031110100","Census Tract 1101; Cook County; Illinois","2443","416","1641","448","802","211",
"1400000US17031110200","Census Tract 1102; Cook County; Illinois","1376","275","669","126","707","295",
